02/23/2019 23:08:24 - 1063	M	4006,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	909,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	1202,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	938,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	512,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	713,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	619,-1,prt_fild06
02/23/2019 23:08:27 - 1002	M	4001,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	909,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	1202,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	512,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	713,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	619,-1,prt_fild06
02/23/2019 23:08:28 - 1002	M	4001,-1,prt_fild06
02/23/2019 23:08:51 - 1051	L	909,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:51 - 1051	L	713,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:51 - 1051	L	619,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:52 - 1051	L	1202,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:52 - 1051	L	1202,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:52 - 1051	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:52 - 1051	L	713,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:52 - 1051	L	938,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:53 - 1051	L	4001,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:53 - 1051	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:53 - 1051	L	909,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:53 - 1051	L	4001,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:53 - 1051	L	705,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	619,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	1202,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	619,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	938,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:54 - 1051	L	949,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:55 - 1051	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:55 - 1051	L	909,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:55 - 1051	L	713,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:55 - 1051	L	2262,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:55 - 1051	L	515,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:56 - 1051	L	2262,1,0,0,0,0,0,prt_fild06
